year,date,portfolio_return,gross_return,spy_return,excess_return,position_scale,vol_scale,kelly_scale,risk_off_scale,transaction_cost
2023,2023-10-31,0.18920008395389634,0.18920008395389634,0.0862156865780502,0.10298439737584614,1.0,1.0,1.0,1.0,0.0027333333333333333
2023,2023-11-30,0.05733963787357205,0.05733963787357205,0.03368839254638868,0.023651245327183365,1.0,1.0,1.0,1.0,0.002816666666666667
2024,2024-01-31,0.02454689574291837,0.02454689574291837,0.04834416205018238,-0.023797266307264014,1.0,1.0,1.0,1.0,0.0029833333333333335
2024,2024-02-29,0.03497079155568753,0.03497079155568753,0.02131685646557568,0.013653935090111851,1.0,1.0,1.0,1.0,0.0028333333333333335
2024,2024-03-28,-0.06496595893957369,-0.06496595893957369,-0.04176868825575645,-0.023197270683817238,1.0,1.0,1.0,1.0,0.00255
2024,2024-04-30,0.010044183206017345,0.010044183206017345,0.054861471381967564,-0.044817288175950216,1.0,1.0,1.0,1.0,0.002616666666666667
2024,2024-05-31,-0.004281064173069907,-0.004281064173069907,0.03656569011635919,-0.0408467542894291,1.0,1.0,1.0,1.0,0.0025166666666666666
2024,2024-06-28,0.050249730636202306,0.050249730636202306,-0.004272580670086458,0.05452231130628876,1.0,1.0,1.0,1.0,0.00275
2024,2024-07-31,-0.019575805240626656,-0.019575805240626656,0.0167031936217717,-0.036278998862398354,1.0,1.0,1.0,1.0,0.002766666666666667
2024,2024-08-30,0.03661190168344445,0.03661190168344445,0.033118636427716466,0.003493265255727983,1.0,1.0,1.0,1.0,0.0025833333333333333
2024,2024-09-30,-0.010728552555466515,-0.010728552555466515,0.004255805504516986,-0.0149843580599835,1.0,1.0,1.0,1.0,0.0024000000000000002
2024,2024-10-31,0.07901140574599777,0.07901140574599777,0.05707142501682256,0.02193998072917521,1.0,1.0,1.0,1.0,0.00255
2024,2024-11-29,-0.06408130841332349,-0.06408130841332349,-0.02819994755954356,-0.03588136085377993,1.0,1.0,1.0,1.0,0.0025666666666666667
2025,2025-01-31,-0.04408930126483934,-0.04408930126483934,-0.023420421407730232,-0.02066887985710911,1.0,1.0,1.0,1.0,0.002766666666666667
2025,2025-02-28,0.0012131479057026105,0.0012131479057026105,-0.036165831066440765,0.03737897897214337,1.0,1.0,1.0,1.0,0.0027
2025,2025-03-31,-0.008642904710882313,-0.008642904710882313,-0.004456527626783593,-0.00418637708409872,1.0,1.0,1.0,1.0,0.0028
2025,2025-04-30,0.06693407218778295,0.06693407218778295,0.06131045829976745,0.005623613888015501,1.0,1.0,1.0,1.0,0.0025
2025,2025-05-30,0.024303709065241954,0.024303709065241954,0.04515860693021891,-0.02085489786497696,1.0,1.0,1.0,1.0,0.0029333333333333334
2025,2025-06-30,-0.01399740465970079,-0.01399740465970079,0.006589341630663126,-0.020586746290363916,1.0,1.0,1.0,1.0,0.0025
2025,2025-07-31,0.04008677889076321,0.04008677889076321,0.0298366908683782,0.010250088022385008,1.0,1.0,1.0,1.0,0.002416666666666667
2025,2025-08-29,0.0331250323924756,0.0331250323924756,0.046907132187082895,-0.013782099794607296,1.0,1.0,1.0,1.0,0.0023833333333333337
